engine_temp,oil_pressure,vibration_x,vibration_y,vibration_z,fuel_pressure,coolant_temp,battery_voltage,transmission_temp,brake_pressure,tire_pressure_fl,tire_pressure_fr,tire_pressure_rl,tire_pressure_rr,RUL,vehicle_type,mission_id,timestamp,degradation_factor,vehicle_id
200.4900922583689,40.34774043878622,5.615238747796217,0.49816334297980236,2.587254690899078,44.273386039397906,180.0,13.70928701121973,167.25860541135103,0.0,31.382330072988005,34.19963241664425,32.48628390063373,33.228048862429844,667,MRAP,0,0,0.0,0
186.8167328737783,41.721723888645734,3.4112916592590925,1.4498529927911068,1.165871366335911,45.873535629544065,180.0,13.658935576947963,161.605274118227,0.0,33.14696306540426,33.55648202942371,33.00946801544076,32.42287439282033,666,MRAP,0,1,0.0014992503748125937,0
187.66846276424945,35.0744531839009,0.5090087257088722,1.8421007828375724,1.8307528863915952,35.52058122535064,180.0,13.154578915121666,159.02156566188913,0.0,33.3865925156151,30.66652864444776,32.43919436358327,32.0198238419211,665,MRAP,0,2,0.0029985007496251873,0
203.39457927658546,44.79788513831897,1.1514519009004807,0.4978733393103651,3.2520474490032876,42.492693063120676,185.65311358474264,13.374355841758552,168.39793072038668,0.0,32.25392750686555,33.54567107651989,32.92708645287838,35.0,664,MRAP,0,3,0.004497751124437781,0
189.65094999081745,37.897880822857914,1.4345908718787168,3.123119688653578,1.8747927920219263,41.099934991309304,180.0,13.093847559608287,163.65988575436245,48.4626242767278,30.057813869845226,33.46693000386693,31.481492704291917,32.459297406789275,663,MRAP,0,4,0.005997001499250375,0
190.64971294545364,34.830619566424545,3.1484165897193184,5.772999931136231,2.8069366790777215,41.52694751433204,180.0,13.892830922240295,161.84533141796845,0.0,34.35462282675639,30.49934533985256,33.34248099425311,31.618387887587744,662,MRAP,0,5,0.0074962518740629685,0
191.37668912402452,40.448589065907406,0.5588098989016759,3.386327448447429,3.1588686430828066,44.212158160104586,180.0,13.211814860033945,165.21312457515052,0.0,33.11990573366908,32.19528782074101,32.79026983606474,30.325408298869462,661,MRAP,0,6,0.008995502248875561,0
187.07248247022864,43.80472479292954,1.323169689256444,1.1545910891794742,0.1106372446324,34.334055317347186,180.0,13.957430696947698,160.2667901099505,64.61738133534894,32.25680583182972,30.069536173534335,34.07386584345083,32.012460563018564,660,MRAP,0,7,0.010494752623688156,0
191.9703348759209,41.63151084243571,0.942894382574402,1.165508873194244,2.7325795515417473,43.17673481591768,180.0,14.026188789661134,163.244544066191,0.0,32.13848370815313,31.577718248170694,31.966281838817864,31.660652103730378,659,MRAP,0,8,0.01199400299850075,0
181.41368661692712,41.97358377422826,8.680894915503332,1.1793299386814713,2.9116968531313754,40.941045339363264,180.0,13.710334403936207,150.0,0.0,31.955260148208104,31.855121024520994,31.411232439293318,34.70931311410162,658,MRAP,0,9,0.013493253373313344,0
